restaurant_name,image_url,rating,cuisine,location,delivery_time
Haldiram's Restaurant,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/4/12/a1fa3b15-b9af-4f45-8e3d-c5f2d710f085_869710.jpg",4.2,"South Indian, Fast Food",Malleshwaram,35-40 mins
The Good Bowl,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/6e04be27387483a7c00444f8e8241108",4.3,"Biryani, North Indian, Pastas, Punjabi, Desserts, Beverages",Basavangudi,25-30 mins
New Udupi Upahar,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/b14cd9fc40129fcfb97aa7e621719d07",4.6,"North Indian, South Indian, Chinese, Tandoor, Chaat, Beverages",Central Bangalore,25-30 mins
Szechuan Dragon,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/o1hvh788liketqhmbes2",4.3,"Chinese, Thai",Hanumanthanagar,30-35 mins
Kulfi Shulfi - Kulfis & Icecreams,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ad70a3ad36a0c85fca6e9ce1f9d97128",4.3,"Ice Cream, Desserts",Basavanagudi,20-25 mins
Shanghai Express,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/5/21/4cd010d6-da00-4e22-8bdb-995e83728c46_890841.jpg",,"Chinese, Pan-Asian",Basavanagudi,35-40 mins
Puliyogare Point,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/wet9zrjusmdtkk16jlrz",4.6,South Indian,Basavanagudi,20-25 mins
By 2 Coffee,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/pzyccoxkjhlvwtiv5hsq",4.6,South Indian,Chamarajpet,10-15 mins
Paakashala,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/24/546ba51d-ce41-4367-82ee-d54bc6aa1c14_743427.jpg",4.5,Indian,Basavanagudi,25-30 mins
Nandhini Deluxe,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/zmp84ckarixkz73fzuws",4.4,"Andhra, Chinese",Basavanagudi,20-25 mins
Upahara Darshini,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/mcoauhcsbgpagzjspe3e",4.4,"Chinese, South Indian, North Indian, Desserts",Jayanagar,25-30 mins
Tiwari's Ghee Paratha & Chaat,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ay8nnktuatftfp3iaipa",4.4,Rajasthani,Basavanagudi,25-30 mins
